1.923363059759140015e-01,8.355446159839630127e-02,1.656663790345191956e-02,1.018718630075454712e-02
2.242488861083984375e-01,1.033262610435485840e-01,3.767244145274162292e-02,2.368387579917907715e-02
2.347537726163864136e-01,1.091442108154296875e-01,5.953205749392509460e-02,3.980963304638862610e-02
2.291608750820159912e-01,1.048344522714614868e-01,8.202563226222991943e-02,5.694758892059326172e-02
2.134766131639480591e-01,9.430253505706787109e-02,1.049782261252403259e-01,7.402105629444122314e-02
1.937661916017532349e-01,8.120915293693542480e-02,1.282072216272354126e-01,9.054206311702728271e-02
1.756090521812438965e-01,6.869832426309585571e-02,1.515441387891769409e-01,1.065942943096160889e-01
1.637183278799057007e-01,5.923494696617126465e-02,1.748460829257965088e-01,1.227447316050529480e-01
1.617635637521743774e-01,5.457423999905586243e-02,1.980071514844894409e-01,1.398993879556655884e-01
1.723843365907669067e-01,5.584417283535003662e-02,2.209732830524444580e-01,1.591356098651885986e-01
1.973407715559005737e-01,6.369395554065704346e-02,2.437584996223449707e-01,1.815408170223236084e-01
2.377347499132156372e-01,7.846111804246902466e-02,2.664548754692077637e-01,2.080811858177185059e-01
2.942326962947845459e-01,1.003170907497406006e-01,2.892314493656158447e-01,2.395069450139999390e-01
3.672457337379455566e-01,1.293720752000808716e-01,3.123170137405395508e-01,2.762885093688964844e-01
4.570338129997253418e-01,1.657293438911437988e-01,3.359645605087280273e-01,3.185752034187316895e-01
5.637183189392089844e-01,2.094845920801162720e-01,3.604044020175933838e-01,3.661589920520782471e-01
6.871954202651977539e-01,2.606735229492187500e-01,3.857866823673248291e-01,4.184395372867584229e-01
8.269633054733276367e-01,3.191694617271423340e-01,4.121266305446624756e-01,4.743909835815429688e-01
9.818930029869079590e-01,3.845487236976623535e-01,4.392620027065277100e-01,5.325477123260498047e-01
1.150001525878906250e+00,4.559519886970520020e-01,4.668384492397308350e-01,5.910362005233764648e-01
1.328316807746887207e+00,5.319902300834655762e-01,4.943335354328155518e-01,6.476833820343017578e-01
1.512933015823364258e+00,6.107501387596130371e-01,5.211216807365417480e-01,7.002264857292175293e-01
1.699322819709777832e+00,6.899427771568298340e-01,5.465696454048156738e-01,7.466120719909667969e-01
1.882871508598327637e+00,7.671800255775451660e-01,5.701326131820678711e-01,7.853237986564636230e-01
2.059483766555786133e+00,8.402960896492004395e-01,5.914204716682434082e-01,8.156375885009765625e-01
2.226048231124877930e+00,9.076156616210937500e-01,6.102082729339599609e-01,8.376981019973754883e-01
2.380609512329101562e+00,9.680733084678649902e-01,6.264007091522216797e-01,8.523889183998107910e-01
2.522269964218139648e+00,1.021191835403442383e+00,6.399799585342407227e-01,8.610588908195495605e-01
2.650935888290405273e+00,1.066961884498596191e+00,6.509656310081481934e-01,8.652126193046569824e-01
2.767038583755493164e+00,1.105694770812988281e+00,6.594027876853942871e-01,8.662631511688232422e-01
2.871316671371459961e+00,1.137893199920654297e+00,6.653677225112915039e-01,8.653860092163085938e-01
2.964664220809936523e+00,1.164150595664978027e+00,6.689785122871398926e-01,8.634686470031738281e-01
3.048036098480224609e+00,1.185086727142333984e+00,6.703975796699523926e-01,8.611239194869995117e-01
3.122386693954467773e+00,1.201304197311401367e+00,6.698269844055175781e-01,8.587339520454406738e-01
3.188623905181884766e+00,1.213364362716674805e+00,6.674941778182983398e-01,8.565064072608947754e-01
3.247595548629760742e+00,1.221774458885192871e+00,6.636390686035156250e-01,8.545236587524414062e-01
