0.039935,1.342e-07,1.0915e-05,-2.2637e-05,0.04005,-4.3329e-07,-1.0212e-05,2.311e-05,0.040079,9.3642e-07,4.8582e-05,-0.00010293,0.03993,-6.8938e-08,-3.3814e-06,7.1777e-06,0.0399,-4.6102e-07,-1.5163e-05,3.3186e-05,0.039812,-1.1491e-07,3.0982e-06,-5.5131e-06,0.039827,3.3843e-07,1.1636e-05,-2.535e-05,0.040203,4.6119e-07,1.3212e-05,-2.9283e-05,0.040039,-9.0652e-08,1.5013e-06,-2.4255e-06,0.040245,2.8391e-07,2.6932e-05,-5.5588e-05
0.043954,1.7597e-07,9.16e-06,-1.9386e-05,0.04392,-4.7886e-07,-1.0454e-05,2.3891e-05,0.044087,1.1254e-06,4.4102e-05,-9.5157e-05,0.043992,-7.7429e-08,-3.7318e-06,7.9328e-06,0.043859,-5.1391e-07,-6.3857e-06,1.5971e-05,0.043898,-1.0896e-07,4.653e-06,-8.6528e-06,0.043743,3.8193e-07,8.8221e-06,-2e-05,0.044175,5.2586e-07,1.6871e-05,-3.7015e-05,0.044037,-6.6155e-08,4.0252e-06,-7.6162e-06,0.044285,3.9049e-07,3.0265e-05,-6.2909e-05
0.047919,1.875e-07,-5.3922e-06,9.6406e-06,0.047833,-5.1589e-07,-1.0195e-05,2.3618e-05,0.048066,1.3205e-06,5.1156e-05,-0.00011049,0.048007,-1.0213e-07,-6.6313e-06,1.3884e-05,0.047941,-5.3166e-07,-3.7641e-06,1.0861e-05,0.047851,-8.8443e-08,8.8905e-06,-1.7246e-05,0.04773,4.1172e-07,5.763e-06,-1.408e-05,0.048184,5.8494e-07,1.2452e-05,-2.8558e-05,0.047979,-4.5455e-08,7.0356e-06,-1.3758e-05,0.048139,4.822e-07,1.687e-05,-3.669e-05
0.051898,1.4402e-07,-1.5607e-05,3.0322e-05,0.051786,-5.5249e-07,-6.7121e-06,1.6899e-05,0.052136,1.5287e-06,4.9109e-05,-0.00010772,0.052067,-1.2647e-07,-5.3581e-06,1.149e-05,0.051937,-5.4853e-07,-4.0209e-06,1.1503e-05,0.051829,-6.5979e-08,7.1407e-06,-1.3878e-05,0.051675,4.4472e-07,1.5207e-05,-3.3187e-05,0.052196,6.1683e-07,5.8575e-06,-1.5591e-05,0.052131,-4.8657e-09,1.3951e-05,-2.7831e-05,0.052288,5.5303e-07,1.0916e-05,-2.5233e-05
0.056027,7.5987e-08,-1.7831e-05,3.5173e-05,0.055763,-5.9406e-07,-1.2189e-05,2.8131e-05,0.056136,1.722e-06,4.8254e-05,-0.00010725,0.056017,-1.4933e-07,-5.3376e-06,1.1593e-05,0.055905,-5.6566e-07,-7.8037e-06,1.92e-05,0.055789,-3.0937e-08,1.0077e-05,-1.9958e-05,0.055707,5.1917e-07,1.8095e-05,-3.9434e-05,0.056155,6.3071e-07,3.5807e-06,-1.1152e-05,0.056147,6.0804e-08,1.8559e-05,-3.7441e-05,0.056342,5.9486e-07,1.5961e-05,-3.5603e-05
0.060031,2.7263e-09,-1.839e-05,3.673e-05,0.059689,-6.2145e-07,-7.1364e-06,1.8221e-05,0.060089,1.9135e-06,4.416e-05,-0.0001003,0.059895,-1.4621e-07,1.0126e-05,-1.9346e-05,0.05995,-5.5998e-07,1.9046e-06,-2.2173e-07,0.059839,2.3595e-08,1.5732e-05,-3.1596e-05,0.059756,5.859e-07,1.4847e-05,-3.3367e-05,0.060229,6.5457e-07,5.7585e-06,-1.5684e-05,0.060189,1.3847e-07,1.996e-05,-4.0715e-05,0.060298,6.5072e-07,1.3508e-05,-3.1063e-05
0.064034,-5.1341e-08,-1.5382e-05,3.1037e-05,0.063741,-6.4758e-07,-7.8681e-07,5.7114e-06,0.064096,2.0872e-06,4.4105e-05,-0.00010134,0.063825,-7.8103e-08,1.7989e-05,-3.5476e-05,0.063958,-5.483e-07,2.0142e-07,3.1431e-06,0.063841,8.0749e-08,9.8231e-06,-2.0122e-05,0.063756,6.5708e-07,2.1766e-05,-4.7663e-05,0.064196,6.719e-07,4.9444e-06,-1.4193e-05,0.064094,2.302e-07,2.6874e-05,-5.5102e-05,0.064438,6.9386e-07,1.0495e-05,-2.5331e-05
0.068104,-9.4291e-08,-7.5247e-06,1.5585e-05,0.06778,-6.6507e-07,-8.3908e-06,2.1058e-05,0.068075,2.2665e-06,4.8255e-05,-0.00011082,0.067787,-1.0734e-08,1.8425e-05,-3.6748e-05,0.06794,-5.5182e-07,-2.6166e-06,8.8287e-06,0.067849,1.3258e-07,1.1823e-05,-2.4438e-05,0.06788,7.642e-07,3.1501e-05,-6.7812e-05,0.068142,6.9426e-07,4.943e-06,-1.4359e-05,0.068048,3.3388e-07,2.4745e-05,-5.1478e-05,0.068508,7.4026e-07,1.2581e-05,-2.9817e-05
0.072005,-1.4666e-07,-1.9047e-05,3.8948e-05,0.071773,-7.1017e-07,-1.1693e-05,2.7968e-05,0.072074,2.4834e-06,5.5476e-05,-0.00012669,0.071856,7.0688e-08,2.2498e-05,-4.5385e-05,0.071879,-5.4902e-07,1.1851e-06,1.237e-06,0.071989,1.9613e-07,2.221e-05,-4.5603e-05,0.071817,8.8883e-07,3.6116e-05,-7.7831e-05,0.072187,7.1464e-07,6.5973e-06,-1.7827e-05,0.072034,4.4933e-07,2.8317e-05,-5.9334e-05,0.07253,7.8431e-07,1.0994e-05,-2.6945e-05
0.075915,-2.1465e-07,-1.9842e-05,4.0955e-05,0.075852,-7.3746e-07,-1.6566e-06,8.098e-06,0.076049,2.7156e-06,5.6207e-05,-0.00012967,0.075922,1.3954e-07,1.5349e-05,-3.1504e-05,0.075748,-5.3762e-07,7.4985e-06,-1.143e-05,0.075895,2.874e-07,1.9054e-05,-3.9849e-05,0.075865,1.0259e-06,3.2064e-05,-7.0598e-05,0.076118,7.6223e-07,1.6762e-05,-3.8481e-05,0.075998,5.7093e-07,2.912e-05,-6.1694e-05,0.076384,8.3837e-07,1.2494e-05,-3.031e-05
